Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.007 0.027 1.758 27.113 47.172
0.008 0.027 27.214 58.235 94.900
0.007 0.027 58.351 95.489 153.109
0.008 0.027 95.656 150.949 215.237
0.008 0.027 151.055 285.682 286.091
0.006 0.027 287.341 588.003 376.517
0.006 0.027 588.923 917.680 472.813
0.008 0.027 917.988 1391.976 554.138
0.007 0.027 1393.760 2268.130 756.347
0.007 0.027 2277.107 4996.112 1025.212
0.027 0.039 1.697 24.812 1551.553
0.027 0.039 24.882 54.271 2283.311
0.027 0.039 54.467 97.017 2892.051
0.027 0.039 97.101 149.571 3601.640
0.027 0.039 149.927 253.763 4353.542
0.027 0.039 254.000 515.541 5611.101
0.027 0.039 516.730 901.076 6888.151
0.027 0.039 904.045 1429.897 8963.012
0.027 0.039 1432.281 2383.616 12294.372
0.027 0.039 2404.060 4995.186 18648.787
0.039 0.054 1.666 20.579 40.240
0.039 0.054 20.667 42.776 74.113
0.039 0.054 42.963 77.419 114.959
0.039 0.054 77.534 137.226 173.709
0.039 0.054 137.337 255.954 233.359
0.039 0.054 256.209 468.514 320.170
0.039 0.054 470.732 795.954 386.747
0.039 0.054 796.781 1409.355 488.113
0.039 0.054 1410.349 2690.072 597.389
0.039 0.054 2706.635 4995.965 818.238
0.054 0.072 1.591 20.219 1213.285
0.054 0.072 20.333 40.410 1704.723
0.054 0.072 40.504 67.823 2136.844
0.054 0.072 67.932 122.029 2828.331
0.054 0.072 122.119 242.576 3696.211
0.054 0.072 244.022 442.788 4909.144
0.054 0.072 444.901 729.252 5723.132
0.054 0.072 730.370 1384.710 7429.713
0.054 0.072 1387.688 2842.709 11082.906
0.054 0.072 2848.764 4989.069 14978.120
0.072 0.095 1.772 21.395 29.326
0.072 0.095 21.503 42.070 56.598
0.072 0.095 42.242 68.803 85.303
0.072 0.095 69.019 113.143 122.836
0.072 0.095 113.325 205.897 161.435
0.072 0.095 206.363 393.247 211.766
0.072 0.095 395.209 655.137 284.531
0.072 0.095 657.381 1250.190 385.956
0.072 0.095 1250.590 2715.311 526.058
0.072 0.095 2722.389 4995.175 716.543
0.095 0.121 1.715 23.615 979.949
0.095 0.121 23.754 47.744 1380.335
0.095 0.121 47.789 75.396 1744.543
0.095 0.121 75.435 108.581 2212.474
0.095 0.121 108.827 163.001 3075.621
0.095 0.121 163.647 323.944 4146.973
0.095 0.121 324.693 537.746 5266.861
0.095 0.121 539.038 1018.498 7577.687
0.095 0.121 1031.990 2500.560 11081.131
0.095 0.121 2507.996 4997.872 13563.392
0.121 0.151 1.830 24.859 25.132
0.121 0.151 24.946 50.914 50.280
0.121 0.151 51.012 74.031 75.645
0.121 0.151 74.137 100.295 105.566
0.121 0.151 100.436 145.737 138.904
0.121 0.151 146.327 292.000 174.413
0.121 0.151 292.448 479.681 240.393
0.121 0.151 480.174 919.565 318.100
0.121 0.151 924.427 2404.906 430.089
