Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.028 1.548 15.581 47.172 
0.005 0.028 15.581 27.101 94.900 
0.005 0.028 27.101 42.822 153.109 
0.005 0.028 42.822 58.428 215.237 
0.005 0.028 58.428 75.671 286.091 
0.005 0.028 75.671 96.158 376.517 
0.005 0.028 96.158 120.488 472.813 
0.005 0.028 120.488 150.853 554.138 
0.005 0.028 150.853 193.668 756.347 
0.005 0.028 193.668 283.172 1025.212 
0.005 0.028 283.172 435.513 1551.553 
0.005 0.028 435.513 585.439 2283.311 
0.005 0.028 585.439 738.061 2892.051 
0.005 0.028 738.061 919.666 3601.640 
0.005 0.028 919.666 1133.876 4353.542 
0.005 0.028 1133.876 1394.715 5611.101 
0.005 0.028 1394.715 1732.551 6888.151 
0.005 0.028 1732.551 2263.098 8963.012 
0.005 0.028 2263.098 3515.698 12294.372 
0.005 0.028 3515.698 4999.259 18648.787 
0.028 0.042 1.532 14.398 40.240 
0.028 0.042 14.398 24.033 74.113 
0.028 0.042 24.033 37.244 114.959 
0.028 0.042 37.244 52.255 173.709 
0.028 0.042 52.255 71.434 233.359 
0.028 0.042 71.434 94.348 320.170 
0.028 0.042 94.348 119.718 386.747 
0.028 0.042 119.718 148.820 488.113 
0.028 0.042 148.820 186.200 597.389 
0.028 0.042 186.200 252.520 818.238 
0.028 0.042 252.520 371.928 1213.285 
0.028 0.042 371.928 503.668 1704.723 
0.028 0.042 503.668 674.929 2136.844 
0.028 0.042 674.929 886.037 2828.331 
0.028 0.042 886.037 1141.877 3696.211 
0.028 0.042 1141.877 1430.190 4909.144 
0.028 0.042 1430.190 1796.466 5723.132 
0.028 0.042 1796.466 2455.530 7429.713 
0.028 0.042 2455.530 3631.604 11082.906 
0.028 0.042 3631.604 4999.909 14978.120 
0.042 0.058 1.489 12.342 29.326 
0.042 0.058 12.342 20.368 56.598 
0.042 0.058 20.368 30.519 85.303 
0.042 0.058 30.519 42.099 122.836 
0.042 0.058 42.099 56.236 161.435 
0.042 0.058 56.236 74.675 211.766 
0.042 0.058 74.675 100.169 284.531 
0.042 0.058 100.169 134.891 385.956 
0.042 0.058 134.891 178.971 526.058 
0.042 0.058 178.971 258.285 716.543 
0.042 0.058 258.285 356.507 979.949 
0.042 0.058 356.507 466.954 1380.335 
0.042 0.058 466.954 601.018 1744.543 
0.042 0.058 601.018 778.532 2212.474 
0.042 0.058 778.532 1048.753 3075.621 
0.042 0.058 1048.753 1410.658 4146.973 
0.042 0.058 1410.658 1903.206 5266.861 
0.042 0.058 1903.206 2757.052 7577.687 
0.042 0.058 2757.052 3797.673 11081.131 
0.042 0.058 3797.673 4999.985 13563.392 
0.058 0.077 1.592 12.330 25.132 
0.058 0.077 12.330 20.508 50.280 
0.058 0.077 20.508 30.440 75.645 
0.058 0.077 30.440 40.624 105.566 
