Agg-Agg collection for the random orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.007 0.272 2.298 23.521 20.100
0.011 0.273 23.564 46.025 42.199
0.011 0.273 46.075 85.355 65.278
0.008 0.272 85.565 160.111 92.569
0.007 0.273 160.308 282.920 123.526
0.009 0.272 283.660 484.827 167.661
0.008 0.272 485.899 873.922 216.546
0.008 0.273 874.271 1632.020 329.047
0.008 0.273 1636.359 2914.791 388.627
0.012 0.272 2915.949 4997.315 552.919
0.273 0.327 2.639 27.861 787.000
0.273 0.327 28.077 55.709 1034.185
0.273 0.327 55.854 101.046 1277.428
0.273 0.327 101.165 183.783 1513.615
0.273 0.327 184.282 318.742 2328.946
0.273 0.327 319.561 529.782 2946.373
0.273 0.327 530.057 912.425 4299.469
0.273 0.327 912.765 1670.856 5583.952
0.273 0.327 1674.948 2939.377 7581.824
0.273 0.327 2944.385 4996.418 8692.168
0.327 0.359 2.411 28.129 20.461
0.327 0.359 28.150 54.676 46.156
0.327 0.359 54.737 96.278 66.601
0.327 0.359 96.417 178.450 96.067
0.327 0.359 178.528 318.175 133.988
0.327 0.359 319.240 529.344 179.469
0.327 0.359 529.454 891.480 223.460
0.327 0.359 891.960 1613.864 307.944
0.327 0.359 1618.580 2931.278 437.115
0.327 0.359 2932.242 4999.408 563.961
0.359 0.384 2.164 27.681 700.473
0.359 0.384 27.734 54.260 889.385
0.359 0.384 54.333 94.777 1234.882
0.359 0.384 94.995 174.127 1506.537
0.359 0.384 174.203 314.126 2037.122
0.359 0.384 314.518 528.773 2968.710
0.359 0.384 529.013 893.438 3473.489
0.359 0.384 895.126 1623.252 4761.470
0.359 0.384 1627.555 2956.758 6373.487
0.359 0.384 2961.841 4996.304 8452.308
0.384 0.405 2.480 27.079 22.576
0.384 0.405 27.146 53.071 43.036
0.384 0.405 53.267 93.162 69.411
0.384 0.405 93.386 171.581 88.196
0.384 0.405 171.820 310.588 116.923
0.384 0.405 311.403 527.520 174.138
0.384 0.405 529.170 884.656 217.006
0.384 0.405 885.490 1600.898 306.852
0.384 0.405 1602.381 2926.906 392.898
0.384 0.405 2930.710 4995.690 552.937
0.405 0.424 2.437 27.027 672.327
0.405 0.424 27.056 53.127 925.933
0.405 0.424 53.333 91.802 1180.000
0.405 0.424 91.874 170.385 1485.909
0.405 0.423 170.859 311.672 1900.425
0.405 0.424 313.307 531.082 2610.090
0.405 0.424 531.917 876.067 3767.754
0.405 0.423 877.813 1566.359 4904.913
0.405 0.423 1571.774 2866.001 6646.344
0.405 0.424 2869.888 4994.153 8154.255
0.424 0.441 2.413 26.682 19.617
0.424 0.441 26.729 52.343 41.104
0.424 0.441 52.394 89.404 66.514
0.424 0.441 89.624 163.754 87.924
0.424 0.441 164.648 303.117 123.293
0.424 0.441 303.983 517.943 165.601
0.424 0.441 520.332 857.447 205.545
0.424 0.441 858.420 1537.104 294.093
0.424 0.441 1541.326 2875.830 396.575
0.424 0.441 2877.467 4990.160 545.578
