Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.269 2.032 13.744 20.100 
0.005 0.269 13.744 23.402 42.199 
0.005 0.269 23.402 33.433 65.278 
0.005 0.269 33.433 45.658 92.569 
0.005 0.269 45.658 62.414 123.526 
0.005 0.269 62.414 84.706 167.661 
0.005 0.269 84.706 116.526 216.546 
0.005 0.269 116.526 158.997 329.047 
0.005 0.269 158.997 213.585 388.627 
0.005 0.269 213.585 281.543 552.919 
0.005 0.269 281.543 368.432 787.000 
0.005 0.269 368.432 483.570 1034.185 
0.005 0.269 483.570 645.412 1277.428 
0.005 0.269 645.412 870.675 1513.615 
0.005 0.269 870.675 1187.765 2328.946 
0.005 0.269 1187.765 1630.783 2946.373 
0.005 0.269 1630.783 2208.687 4299.469 
0.005 0.269 2208.687 2914.323 5583.952 
0.005 0.269 2914.323 3818.244 7581.824 
0.005 0.269 3818.244 4999.616 8692.168 
0.269 0.325 2.317 16.459 20.461 
0.269 0.325 16.459 28.049 46.156 
0.269 0.325 28.049 40.398 66.601 
0.269 0.325 40.398 55.953 96.067 
0.269 0.325 55.953 75.788 133.988 
0.269 0.325 75.788 101.372 179.469 
0.269 0.325 101.372 136.840 223.460 
0.269 0.325 136.840 184.466 307.944 
0.269 0.325 184.466 244.069 437.115 
0.269 0.325 244.069 319.131 563.961 
0.269 0.325 319.131 411.598 700.473 
0.269 0.325 411.598 530.714 889.385 
0.269 0.325 530.714 691.840 1234.882 
0.269 0.325 691.840 916.048 1506.537 
0.269 0.325 916.048 1238.510 2037.122 
0.269 0.325 1238.510 1677.387 2968.710 
0.269 0.325 1677.387 2237.071 3473.489 
0.269 0.325 2237.071 2943.684 4761.470 
0.269 0.325 2943.684 3867.483 6373.487 
0.269 0.325 3867.483 4999.992 8452.308 
0.325 0.358 2.245 16.416 22.576 
0.325 0.358 16.416 28.093 43.036 
0.325 0.358 28.093 40.456 69.411 
0.325 0.358 40.456 54.697 88.196 
0.325 0.358 54.697 72.571 116.923 
0.325 0.358 72.571 96.379 174.138 
0.325 0.358 96.379 131.003 217.006 
0.325 0.358 131.003 178.684 306.852 
0.325 0.358 178.684 242.100 392.898 
0.325 0.358 242.100 318.835 552.937 
0.325 0.358 318.835 412.905 672.327 
0.325 0.358 412.905 529.357 925.933 
0.325 0.358 529.357 683.736 1180.000 
0.325 0.358 683.736 891.895 1485.909 
0.325 0.358 891.895 1192.679 1900.425 
0.325 0.358 1192.679 1616.217 2610.090 
0.325 0.358 1616.217 2189.903 3767.754 
0.325 0.358 2189.903 2929.253 4904.913 
0.325 0.358 2929.253 3851.653 6646.344 
0.325 0.358 3851.653 4999.905 8154.255 
0.358 0.383 2.107 16.172 19.617 
0.358 0.383 16.172 27.752 41.104 
0.358 0.383 27.752 40.001 66.514 
0.358 0.383 40.001 54.260 87.924 
