Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.007 0.027 1.758 27.113 1.146
0.008 0.027 27.214 58.235 1.983
0.007 0.027 58.351 95.489 3.231
0.008 0.027 95.656 150.949 5.172
0.008 0.027 151.055 285.682 6.803
0.006 0.027 287.341 588.003 8.945
0.006 0.027 588.923 917.680 10.510
0.008 0.027 917.988 1391.976 13.509
0.007 0.027 1393.760 2268.130 19.020
0.007 0.027 2277.107 4996.112 22.335
0.027 0.039 1.697 24.812 35.766
0.027 0.039 24.882 54.271 53.025
0.027 0.039 54.467 97.017 65.962
0.027 0.039 97.101 149.571 84.609
0.027 0.039 149.927 253.763 103.592
0.027 0.039 254.000 515.541 121.525
0.027 0.039 516.730 901.076 167.453
0.027 0.039 904.045 1429.897 206.599
0.027 0.039 1432.281 2383.616 273.803
0.027 0.039 2404.060 4995.186 457.597
0.039 0.054 1.666 20.579 1.343
0.039 0.054 20.667 42.776 2.780
0.039 0.054 42.963 77.419 4.250
0.039 0.054 77.534 137.226 6.128
0.039 0.054 137.337 255.954 8.446
0.039 0.054 256.209 468.514 11.442
0.039 0.054 470.732 795.954 15.329
0.039 0.054 796.781 1409.355 17.968
0.039 0.054 1410.349 2690.072 23.438
0.039 0.054 2706.635 4995.965 29.615
0.054 0.072 1.591 20.219 44.885
0.054 0.072 20.333 40.410 60.419
0.054 0.072 40.504 67.823 74.196
0.054 0.072 67.932 122.029 111.005
0.054 0.072 122.119 242.576 141.860
0.054 0.072 244.022 442.788 182.420
0.054 0.072 444.901 729.252 211.068
0.054 0.072 730.370 1384.710 265.052
0.054 0.072 1387.688 2842.709 401.958
0.054 0.072 2848.764 4989.069 576.470
0.072 0.095 1.772 21.395 1.550
0.072 0.095 21.503 42.070 2.981
0.072 0.095 42.242 68.803 4.210
0.072 0.095 69.019 113.143 6.372
0.072 0.095 113.325 205.897 8.461
0.072 0.095 206.363 393.247 11.153
0.072 0.095 395.209 655.137 16.494
0.072 0.095 657.381 1250.190 20.067
0.072 0.095 1250.590 2715.311 26.218
0.072 0.095 2722.389 4995.175 34.956
0.095 0.121 1.715 23.615 57.059
0.095 0.121 23.754 47.744 70.020
0.095 0.121 47.789 75.396 91.432
0.095 0.121 75.435 108.581 126.326
0.095 0.121 108.827 163.001 159.259
0.095 0.121 163.647 323.944 206.380
0.095 0.121 324.693 537.746 265.822
0.095 0.121 539.038 1018.498 401.237
0.095 0.121 1031.990 2500.560 550.970
0.095 0.121 2507.996 4997.872 708.295
0.121 0.151 1.830 24.859 1.572
0.121 0.151 24.946 50.914 3.363
0.121 0.151 51.012 74.031 5.065
0.121 0.151 74.137 100.295 7.487
0.121 0.151 100.436 145.737 10.411
0.121 0.151 146.327 292.000 12.678
0.121 0.151 292.448 479.681 16.184
0.121 0.151 480.174 919.565 21.233
0.121 0.151 924.427 2404.906 31.636
0.121 0.151 2409.655 4997.916 44.011
0.151 0.187 1.785 24.645 60.765
0.151 0.187 24.742 48.533 79.076
0.151 0.187 48.581 68.635 104.239
0.151 0.186 68.683 91.618 136.576
0.151 0.187 91.709 137.992 177.403
0.151 0.187 138.100 274.780 249.096
0.151 0.187 275.558 459.492 380.835
0.151 0.187 460.054 886.188 564.510
0.151 0.187 888.063 2403.354 706.269
0.151 0.187 2405.248 4993.660 890.055
0.187 0.229 1.865 24.886 2.315
0.187 0.229 24.991 45.780 4.278
0.187 0.229 45.838 63.467 7.464
0.187 0.229 63.535 85.202 9.309
0.187 0.229 85.223 128.815 12.590
0.187 0.229 128.902 256.106 16.772
0.187 0.229 256.310 444.482 20.619
0.187 0.229 444.820 861.741 25.103
0.187 0.229 862.849 2394.082 38.455
0.187 0.229 2394.831 4998.543 44.238
0.229 0.279 1.618 24.542 45.749
0.229 0.279 24.583 42.227 99.154
0.229 0.279 42.271 59.068 117.200
0.229 0.279 59.075 79.817 155.294
0.229 0.279 79.864 121.061 184.361
0.229 0.279 121.222 241.761 289.929
0.229 0.279 242.073 431.262 379.222
0.229 0.279 431.982 843.065 646.896
0.229 0.279 845.625 2404.713 878.542
0.229 0.279 2405.542 4995.426 1205.638
0.279 0.337 1.738 22.995 2.578
0.279 0.337 23.010 38.969 5.932
