Agg-Agg collection for the flat orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.005 0.028 1.548 15.581 1.146
0.005 0.028 15.581 27.101 1.983
0.005 0.028 27.101 42.822 3.231
0.005 0.028 42.822 58.428 5.172
0.005 0.028 58.428 75.671 6.803
0.005 0.028 75.671 96.158 8.945
0.005 0.028 96.158 120.488 10.510
0.005 0.028 120.488 150.853 13.509
0.005 0.028 150.853 193.668 19.020
0.005 0.028 193.668 283.172 22.335
0.005 0.028 283.172 435.513 35.766
0.005 0.028 435.513 585.439 53.025
0.005 0.028 585.439 738.061 65.962
0.005 0.028 738.061 919.666 84.609
0.005 0.028 919.666 1133.876 103.592
0.005 0.028 1133.876 1394.715 121.525
0.005 0.028 1394.715 1732.551 167.453
0.005 0.028 1732.551 2263.098 206.599
0.005 0.028 2263.098 3515.698 273.803
0.005 0.028 3515.698 4999.259 457.597
0.028 0.042 1.532 14.398 1.343
0.028 0.042 14.398 24.033 2.780
0.028 0.042 24.033 37.244 4.250
0.028 0.042 37.244 52.255 6.128
0.028 0.042 52.255 71.434 8.446
0.028 0.042 71.434 94.348 11.442
0.028 0.042 94.348 119.718 15.329
0.028 0.042 119.718 148.820 17.968
0.028 0.042 148.820 186.200 23.438
0.028 0.042 186.200 252.520 29.615
0.028 0.042 252.520 371.928 44.885
0.028 0.042 371.928 503.668 60.419
0.028 0.042 503.668 674.929 74.196
0.028 0.042 674.929 886.037 111.005
0.028 0.042 886.037 1141.877 141.860
0.028 0.042 1141.877 1430.190 182.420
0.028 0.042 1430.190 1796.466 211.068
0.028 0.042 1796.466 2455.530 265.052
0.028 0.042 2455.530 3631.604 401.958
0.028 0.042 3631.604 4999.909 576.470
0.042 0.058 1.489 12.342 1.550
0.042 0.058 12.342 20.368 2.981
0.042 0.058 20.368 30.519 4.210
0.042 0.058 30.519 42.099 6.372
0.042 0.058 42.099 56.236 8.461
0.042 0.058 56.236 74.675 11.153
0.042 0.058 74.675 100.169 16.494
0.042 0.058 100.169 134.891 20.067
0.042 0.058 134.891 178.971 26.218
0.042 0.058 178.971 258.285 34.956
0.042 0.058 258.285 356.507 57.059
0.042 0.058 356.507 466.954 70.020
0.042 0.058 466.954 601.018 91.432
0.042 0.058 601.018 778.532 126.326
0.042 0.058 778.532 1048.753 159.259
0.042 0.058 1048.753 1410.658 206.380
0.042 0.058 1410.658 1903.206 265.822
0.042 0.058 1903.206 2757.052 401.237
0.042 0.058 2757.052 3797.673 550.970
0.042 0.058 3797.673 4999.985 708.295
0.058 0.077 1.592 12.330 1.572
0.058 0.077 12.330 20.508 3.363
0.058 0.077 20.508 30.440 5.065
0.058 0.077 30.440 40.624 7.487
0.058 0.077 40.624 52.809 10.411
0.058 0.077 52.809 67.274 12.678
0.058 0.077 67.274 86.761 16.184
0.058 0.077 86.761 119.433 21.233
0.058 0.077 119.433 162.244 31.636
0.058 0.077 162.244 236.227 44.011
0.058 0.077 236.227 335.006 60.765
0.058 0.077 335.006 436.565 79.076
0.058 0.077 436.565 559.387 104.239
0.058 0.077 559.387 719.312 136.576
