Agg-Agg collection for the random orientation.
Characteristic values taken from the peak of a fit
gamma distribution from 300 aggregates.
Minor axis taken as the smallest axis from the fit-ellipsoid
Ranges are taken from the aggregates being pulled from the db,
not the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max, value
0.007 0.272 2.298 23.521 6.243
0.011 0.273 23.564 46.025 13.865
0.011 0.273 46.075 85.355 20.811
0.008 0.272 85.565 160.111 29.966
0.007 0.273 160.308 282.920 42.419
0.009 0.272 283.660 484.827 56.091
0.008 0.272 485.899 873.922 75.129
0.008 0.273 874.271 1632.020 95.590
0.008 0.273 1636.359 2914.791 140.870
0.012 0.272 2915.949 4997.315 186.382
0.273 0.327 2.639 27.861 267.110
0.273 0.327 28.077 55.709 290.699
0.273 0.327 55.854 101.046 375.521
0.273 0.327 101.165 183.783 550.722
0.273 0.327 184.282 318.742 852.590
0.273 0.327 319.561 529.782 982.939
0.273 0.327 530.057 912.425 1582.317
0.273 0.327 912.765 1670.856 1836.936
0.273 0.327 1674.948 2939.377 2556.599
0.273 0.327 2944.385 4996.418 3357.261
0.327 0.359 2.411 28.129 6.882
0.327 0.359 28.150 54.676 16.174
0.327 0.359 54.737 96.278 28.509
0.327 0.359 96.417 178.450 37.417
0.327 0.359 178.528 318.175 50.529
0.327 0.359 319.240 529.344 66.118
0.327 0.359 529.454 891.480 90.934
0.327 0.359 891.960 1613.864 127.665
0.327 0.359 1618.580 2931.278 165.412
0.327 0.359 2932.242 4999.408 204.804
0.359 0.384 2.164 27.681 288.705
0.359 0.384 27.734 54.260 349.767
0.359 0.384 54.333 94.777 495.058
0.359 0.384 94.995 174.127 588.767
0.359 0.384 174.203 314.126 795.799
0.359 0.384 314.518 528.773 1170.323
0.359 0.384 529.013 893.438 1494.754
0.359 0.384 895.126 1623.252 2028.733
0.359 0.384 1627.555 2956.758 2491.784
0.359 0.384 2961.841 4996.304 3564.689
0.384 0.405 2.480 27.079 7.955
0.384 0.405 27.146 53.071 17.927
0.384 0.405 53.267 93.162 26.175
0.384 0.405 93.386 171.581 39.179
0.384 0.405 171.820 310.588 52.310
0.384 0.405 311.403 527.520 66.537
0.384 0.405 529.170 884.656 90.998
0.384 0.405 885.490 1600.898 114.815
0.384 0.405 1602.381 2926.906 163.573
0.384 0.405 2930.710 4995.690 226.261
0.405 0.424 2.437 27.027 274.928
0.405 0.424 27.056 53.127 373.676
0.405 0.424 53.333 91.802 501.182
0.405 0.424 91.874 170.385 618.934
0.405 0.423 170.859 311.672 835.592
0.405 0.424 313.307 531.082 1109.646
0.405 0.424 531.917 876.067 1548.563
0.405 0.423 877.813 1566.359 1935.731
0.405 0.423 1571.774 2866.001 2747.207
0.405 0.424 2869.888 4994.153 3622.283
0.424 0.441 2.413 26.682 8.019
0.424 0.441 26.729 52.343 16.469
0.424 0.441 52.394 89.404 26.557
0.424 0.441 89.624 163.754 38.851
0.424 0.441 164.648 303.117 47.587
0.424 0.441 303.983 517.943 70.069
0.424 0.441 520.332 857.447 89.927
0.424 0.441 858.420 1537.104 124.430
0.424 0.441 1541.326 2875.830 153.716
0.424 0.441 2877.467 4990.160 223.182
0.441 0.458 2.332 26.517 280.149
0.441 0.458 26.627 52.407 358.625
0.441 0.458 52.449 88.980 470.100
0.441 0.458 89.121 162.172 640.654
0.441 0.458 163.046 304.294 809.822
0.441 0.458 304.528 524.021 1147.182
0.441 0.458 524.707 857.476 1566.582
0.441 0.458 858.242 1540.393 2199.694
0.441 0.458 1541.497 2863.422 2837.268
0.441 0.458 2871.681 4997.365 3545.560
0.458 0.474 2.331 26.642 8.400
0.458 0.474 26.689 52.410 16.605
0.458 0.474 52.532 88.485 26.780
0.458 0.474 88.681 159.666 38.398
0.458 0.474 160.634 299.222 51.956
0.458 0.474 299.655 520.957 67.335
0.458 0.474 521.110 849.068 89.602
0.458 0.474 850.896 1517.099 123.310
0.458 0.474 1520.538 2861.334 158.074
0.458 0.474 2862.455 4997.672 209.854
0.474 0.490 3.048 26.465 300.514
0.474 0.490 26.508 52.712 355.856
0.474 0.490 52.759 88.201 501.378
0.474 0.490 88.323 158.783 657.676
0.474 0.490 159.012 298.100 845.400
0.474 0.490 298.183 517.122 1133.741
0.474 0.490 518.673 837.838 1573.322
0.474 0.490 840.361 1493.318 2070.563
0.474 0.490 1497.879 2813.867 2778.755
0.474 0.490 2814.779 4999.402 3311.696
0.490 0.506 2.654 26.620 8.925
