Ice-Agg collection for the random orientation.
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Mode from 300 aggregates.
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.005 0.269 2.032 13.744 0.010 100.000 1.000 6.000 -0.724
0.005 0.269 13.744 23.402 0.010 100.000 1.000 10.000 -0.687
0.005 0.269 23.402 33.433 0.010 100.000 1.000 10.000 -0.649
0.005 0.269 33.433 45.658 0.010 100.000 1.000 10.000 -0.325
0.005 0.269 45.658 62.414 0.010 100.000 1.000 20.000 -0.902
0.005 0.269 62.414 84.706 0.010 100.000 1.000 40.000 -0.558
0.005 0.269 84.706 116.526 0.010 100.000 2.000 40.000 -0.507
0.005 0.269 116.526 158.997 0.010 100.000 2.000 70.000 0.011
0.005 0.269 158.997 213.585 0.010 100.000 2.000 80.000 -0.240
0.005 0.269 213.585 281.543 0.010 100.000 2.000 100.000 0.029
0.005 0.269 281.543 368.432 0.010 100.000 3.000 100.000 0.002
0.005 0.269 368.432 483.570 0.010 100.000 4.000 100.000 0.023
0.005 0.269 483.570 645.412 0.010 100.000 6.000 200.000 -0.057
0.005 0.269 645.412 870.675 0.010 100.000 7.000 300.000 -0.003
0.005 0.269 870.675 1187.765 0.010 100.000 10.000 400.000 0.013
0.005 0.269 1187.765 1630.783 0.010 100.000 20.000 700.000 -0.283
0.005 0.269 1630.783 2208.687 0.010 100.000 20.000 900.000 0.013
0.005 0.269 2208.687 2914.323 0.010 100.000 30.000 1000.000 0.003
0.005 0.269 2914.323 3818.244 0.010 100.000 30.000 1000.000 0.019
0.005 0.269 3818.244 4999.616 0.010 100.000 40.000 1000.000 0.022
0.269 0.325 2.317 16.459 0.010 37.927 1.000 6.000 -0.102
0.269 0.325 16.459 28.049 0.010 100.000 1.000 10.000 0.021
0.269 0.325 28.049 40.398 0.010 100.000 1.000 10.000 -0.009
0.269 0.325 40.398 55.953 0.010 100.000 1.000 20.000 -0.075
0.269 0.325 55.953 75.788 0.010 100.000 1.000 30.000 0.008
0.269 0.325 75.788 101.372 0.010 100.000 1.000 40.000 0.008
0.269 0.325 101.372 136.840 0.010 100.000 2.000 50.000 -0.003
0.269 0.325 136.840 184.466 0.010 100.000 2.000 70.000 0.013
0.269 0.325 184.466 244.069 0.010 100.000 2.000 90.000 0.002
0.269 0.325 244.069 319.131 0.010 100.000 2.000 100.000 0.018
0.269 0.325 319.131 411.598 0.010 100.000 3.000 100.000 0.005
0.269 0.325 411.598 530.714 0.010 100.000 4.000 200.000 0.001
0.269 0.325 530.714 691.840 0.010 100.000 5.000 200.000 0.014
