Ice-Agg collection for the flat orientation.
Mean value taken from the average across 300 aggregates.
Major axis taken as the largest axis from the fit-ellipsoid
Ranges are taken from the bin edges (maximum range)
Order: agg phi min, agg phi max, agg r min, agg r max,
 monomer phi min, monomer phi max, monomer r min, monomer r max, value
0.005 0.028 1.548 15.581 0.010 100.000 1.000 8.000 40.465
0.005 0.028 15.581 27.101 0.010 100.000 1.000 10.000 84.747
0.005 0.028 27.101 42.822 0.010 100.000 1.000 20.000 139.604
0.005 0.028 42.822 58.428 0.010 100.000 2.000 30.000 195.175
0.005 0.028 58.428 75.671 0.010 100.000 3.000 40.000 260.236
0.005 0.028 75.671 96.158 0.010 100.000 3.000 50.000 323.877
0.005 0.028 96.158 120.488 0.010 100.000 4.000 60.000 409.782
0.005 0.028 120.488 150.853 0.010 100.000 4.000 80.000 505.114
0.005 0.028 150.853 193.668 0.010 100.000 6.000 100.000 650.534
0.005 0.028 193.668 283.172 0.010 100.000 7.000 100.000 887.381
0.005 0.028 283.172 435.513 0.010 100.000 9.000 200.000 1443.067
0.005 0.028 435.513 585.439 0.010 100.000 20.000 300.000 2032.775
0.005 0.028 585.439 738.061 0.010 100.000 20.000 400.000 2582.605
0.005 0.028 738.061 919.666 0.010 100.000 30.000 500.000 3193.043
0.005 0.028 919.666 1133.876 0.010 100.000 40.000 600.000 3874.613
0.005 0.028 1133.876 1394.715 0.010 100.000 40.000 800.000 4790.972
0.005 0.028 1394.715 1732.551 0.010 100.000 50.000 1000.000 5885.949
0.005 0.028 1732.551 2263.098 0.010 100.000 60.000 1000.000 7391.509
0.005 0.028 2263.098 3515.698 0.010 100.000 80.000 1000.000 10753.688
0.005 0.028 3515.698 4999.259 0.010 100.000 200.000 1000.000 16787.347
0.028 0.042 1.532 14.398 0.010 100.000 1.000 8.000 31.669
0.028 0.042 14.398 24.033 0.010 100.000 1.000 10.000 65.000
0.028 0.042 24.033 37.244 0.010 100.000 1.000 20.000 105.389
0.028 0.042 37.244 52.255 0.010 100.000 2.000 30.000 150.730
0.028 0.042 52.255 71.434 0.010 100.000 2.000 40.000 207.593
0.028 0.042 71.434 94.348 0.010 100.000 3.000 60.000 276.925
0.028 0.042 94.348 119.718 0.010 100.000 4.000 70.000 357.507
0.028 0.042 119.718 148.820 0.010 100.000 5.000 90.000 437.098
0.028 0.042 148.820 186.200 0.010 100.000 5.000 100.000 539.306
0.028 0.042 186.200 252.520 0.010 100.000 7.000 100.000 703.175
