Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.005 0.028 1.548 15.581 0.010 100.000 1.000 8.000 0.793 
0.005 0.028 15.581 27.101 0.010 100.000 1.000 10.000 1.624 
0.005 0.028 27.101 42.822 0.010 100.000 1.000 20.000 1.681 
0.005 0.028 42.822 58.428 0.010 100.000 2.000 30.000 3.395 
0.005 0.028 58.428 75.671 0.010 100.000 3.000 40.000 4.657 
0.005 0.028 75.671 96.158 0.010 100.000 3.000 50.000 5.602 
0.005 0.028 96.158 120.488 0.010 100.000 4.000 60.000 9.016 
0.005 0.028 120.488 150.853 0.010 100.000 4.000 80.000 9.562 
0.005 0.028 150.853 193.668 0.010 100.000 6.000 100.000 8.845 
0.005 0.028 193.668 283.172 0.010 100.000 7.000 100.000 16.346 
0.005 0.028 283.172 435.513 0.010 100.000 9.000 200.000 29.736 
0.005 0.028 435.513 585.439 0.010 100.000 20.000 300.000 35.384 
0.005 0.028 585.439 738.061 0.010 100.000 20.000 400.000 55.630 
0.005 0.028 738.061 919.666 0.010 100.000 30.000 500.000 53.937 
0.005 0.028 919.666 1133.876 0.010 100.000 40.000 600.000 69.509 
0.005 0.028 1133.876 1394.715 0.010 100.000 40.000 800.000 65.546 
0.005 0.028 1394.715 1732.551 0.010 100.000 50.000 1000.000 77.934 
0.005 0.028 1732.551 2263.098 0.010 100.000 60.000 1000.000 138.707 
0.005 0.028 2263.098 3515.698 0.010 100.000 80.000 1000.000 130.200 
0.005 0.028 3515.698 4999.259 0.010 100.000 200.000 1000.000 340.904 
0.028 0.042 1.532 14.398 0.010 100.000 1.000 8.000 1.012 
0.028 0.042 14.398 24.033 0.010 100.000 1.000 10.000 1.522 
0.028 0.042 24.033 37.244 0.010 100.000 1.000 20.000 3.489 
0.028 0.042 37.244 52.255 0.010 100.000 2.000 30.000 4.621 
0.028 0.042 52.255 71.434 0.010 100.000 2.000 40.000 6.607 
0.028 0.042 71.434 94.348 0.010 100.000 3.000 60.000 6.896 
