Agg-Agg collection for the random orientation. 
Volume ratio of agg subtracted from volume ratio of new agg (Vagg/Vellipse)
Characteristic value taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.009 0.272 2.333 23.399 -0.689 
0.007 0.272 23.559 46.033 -0.091 
0.007 0.273 46.073 85.412 -0.440 
0.010 0.272 85.556 160.232 -0.059 
0.012 0.273 160.867 283.176 -5.915 
0.009 0.272 283.284 484.930 -3.280 
0.010 0.273 487.058 873.922 -0.309 
0.009 0.272 874.560 1630.375 -0.325 
0.007 0.272 1636.360 2914.483 -0.019 
0.008 0.273 2917.154 4995.599 -0.647 
0.273 0.327 2.639 28.003 -0.080 
0.273 0.327 28.027 55.804 -0.628 
0.273 0.327 55.875 101.046 -0.441 
0.273 0.327 101.061 183.769 -0.012 
0.273 0.327 184.327 318.782 -0.322 
0.273 0.327 319.430 529.560 -0.496 
0.273 0.327 530.485 908.188 -0.300 
0.273 0.327 913.341 1670.921 -0.459 
0.273 0.327 1674.713 2929.630 -4.483 
0.273 0.327 2942.724 4978.138 -7.788 
0.327 0.359 2.486 28.082 -0.183 
0.327 0.359 28.363 54.676 -0.165 
0.327 0.359 54.687 96.168 -0.082 
0.327 0.359 96.564 178.309 -0.043 
0.327 0.359 178.665 318.380 -0.047 
0.327 0.359 318.579 528.704 -0.058 
0.327 0.359 529.471 890.138 -0.070 
0.327 0.359 895.911 1613.923 -0.078 
0.327 0.359 1615.097 2929.908 -0.137 
0.327 0.359 2938.362 4990.987 -0.070 
0.359 0.384 2.164 27.635 -0.071 
0.359 0.384 27.756 54.225 -0.053 
0.359 0.384 54.342 94.916 -0.050 
0.359 0.384 94.995 173.972 -0.067 
0.359 0.384 174.852 314.223 -0.056 
0.359 0.384 314.651 528.285 -0.120 
0.359 0.384 528.944 894.212 -0.071 
0.359 0.384 895.477 1623.026 -0.102 
0.359 0.384 1623.693 2955.453 -0.073 
0.359 0.384 2958.258 4993.195 -0.049 
0.384 0.405 2.315 27.088 -0.106 
0.384 0.405 27.189 53.238 -0.096 
0.384 0.405 53.369 93.352 -0.059 
0.384 0.405 93.438 171.292 -0.047 
0.384 0.405 171.748 310.383 -0.046 
0.384 0.405 312.151 528.154 -0.049 
0.384 0.405 528.382 884.856 -0.062 
0.384 0.405 885.420 1602.118 -0.417 
0.384 0.405 1605.507 2924.603 -0.055 
0.384 0.405 2929.265 4998.777 -0.063 
0.405 0.423 2.437 27.024 -0.065 
0.405 0.424 27.056 53.147 -0.245 
0.405 0.423 53.244 91.832 -0.044 
0.405 0.424 91.875 170.347 -0.437 
0.405 0.423 170.861 312.728 -0.300 
0.405 0.424 313.379 530.954 -0.060 
0.405 0.424 533.676 876.649 -0.074 
0.405 0.423 876.985 1567.657 -0.087 
0.405 0.424 1570.981 2862.406 -0.050 
0.405 0.424 2877.522 4993.635 -0.036 
0.424 0.441 2.614 26.682 -0.111 
0.424 0.441 26.777 52.349 -0.071 
0.424 0.441 52.398 89.338 -0.063 
