Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.027 1.731 27.067 49.652 
0.008 0.027 27.179 58.144 97.117 
0.007 0.027 58.262 95.608 153.068 
0.008 0.027 95.725 151.024 218.340 
0.007 0.027 151.055 286.450 284.859 
0.006 0.027 287.951 587.035 367.519 
0.006 0.027 588.269 917.171 471.042 
0.008 0.027 918.519 1392.265 580.321 
0.009 0.027 1394.724 2270.741 723.109 
0.006 0.027 2277.107 4995.074 988.466 
0.027 0.039 1.738 24.788 1575.294 
0.027 0.039 24.843 54.272 2301.832 
0.027 0.039 54.443 96.868 2903.492 
0.027 0.039 97.074 149.845 3599.427 
0.027 0.039 150.046 253.765 4395.381 
0.027 0.039 254.863 515.868 5116.446 
0.027 0.039 516.220 901.607 6685.350 
0.027 0.039 904.080 1426.599 8971.080 
0.027 0.039 1430.174 2393.990 13043.168 
0.027 0.039 2405.931 4998.660 18205.428 
0.039 0.054 1.647 20.625 39.788 
0.039 0.054 20.656 42.933 70.922 
0.039 0.054 42.980 77.473 118.338 
0.039 0.054 77.531 137.204 173.727 
0.039 0.054 137.402 255.822 239.199 
0.039 0.054 256.384 469.415 302.533 
0.039 0.054 470.087 795.474 414.876 
0.039 0.054 796.369 1406.752 508.101 
0.039 0.054 1409.853 2693.049 632.336 
0.039 0.054 2701.556 4993.730 823.387 
0.054 0.072 1.879 20.301 1218.778 
0.054 0.072 20.382 40.449 1667.210 
0.054 0.072 40.472 67.711 2185.407 
0.054 0.072 67.897 122.092 2971.914 
0.054 0.072 122.133 243.679 3656.679 
0.054 0.072 244.371 442.753 4773.526 
0.054 0.072 443.193 728.319 5664.070 
0.054 0.072 730.395 1386.231 7932.449 
0.054 0.072 1388.484 2844.086 11021.768 
0.054 0.072 2849.291 4994.642 15713.043 
0.072 0.095 1.802 21.397 30.695 
0.072 0.094 21.606 42.171 54.549 
0.072 0.095 42.295 68.911 86.707 
0.072 0.095 69.006 112.699 115.145 
0.072 0.095 113.330 206.207 162.965 
0.072 0.095 206.256 392.899 224.181 
0.072 0.095 393.904 655.076 284.322 
0.072 0.095 656.057 1250.289 383.437 
0.072 0.094 1254.021 2710.277 508.749 
0.072 0.095 2716.499 4999.394 718.559 
0.095 0.121 1.682 23.639 1042.203 
0.095 0.121 23.715 47.684 1389.154 
0.095 0.121 47.827 75.214 1799.088 
0.095 0.121 75.421 108.605 2368.962 
0.095 0.121 108.763 163.242 3149.612 
0.095 0.121 163.664 323.661 4139.366 
0.095 0.121 323.974 537.688 5389.054 
0.095 0.121 538.210 1025.635 7531.914 
0.095 0.121 1026.134 2501.863 10747.322 
0.095 0.121 2502.584 4997.872 14725.467 
0.121 0.151 1.957 24.832 26.502 
0.121 0.151 24.928 50.861 48.537 
0.121 0.151 51.031 74.031 75.856 
0.121 0.151 74.091 100.219 99.475 
0.121 0.151 100.408 146.223 140.211 
0.121 0.151 146.353 292.260 170.985 
