Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.027 1.548 15.639 49.652 
0.005 0.027 15.639 27.159 97.117 
0.005 0.027 27.159 42.774 153.068 
0.005 0.027 42.774 58.245 218.340 
0.005 0.027 58.245 75.174 284.859 
0.005 0.027 75.174 95.608 367.519 
0.005 0.027 95.608 120.126 471.042 
0.005 0.027 120.126 151.036 580.321 
0.005 0.027 151.036 194.480 723.109 
0.005 0.027 194.480 286.541 988.466 
0.005 0.027 286.541 438.160 1575.294 
0.005 0.027 438.160 588.223 2301.832 
0.005 0.027 588.223 738.728 2903.492 
0.005 0.027 738.728 917.815 3599.427 
0.005 0.027 917.815 1131.164 4395.381 
0.005 0.027 1131.164 1393.471 5116.446 
0.005 0.027 1393.471 1731.484 6685.350 
0.005 0.027 1731.484 2271.273 8971.080 
0.005 0.027 2271.273 3528.802 13043.168 
0.005 0.027 3528.802 4999.259 18205.428 
0.027 0.039 1.532 14.729 39.788 
0.027 0.039 14.729 24.818 70.922 
0.027 0.039 24.818 38.774 118.338 
0.027 0.039 38.774 54.403 173.727 
0.027 0.039 54.403 73.965 239.199 
0.027 0.039 73.965 97.049 302.533 
0.027 0.039 97.049 121.552 414.876 
0.027 0.039 121.552 149.889 508.101 
0.027 0.039 149.889 186.975 632.336 
0.027 0.039 186.975 253.957 823.387 
0.027 0.039 253.957 379.181 1218.778 
0.027 0.039 379.181 516.174 1667.210 
0.027 0.039 516.174 690.396 2185.407 
0.027 0.039 690.396 901.650 2971.914 
0.027 0.039 901.650 1149.578 3656.679 
0.027 0.039 1149.578 1429.994 4773.526 
0.027 0.039 1429.994 1786.316 5664.070 
0.027 0.039 1786.316 2401.920 7932.449 
0.027 0.039 2401.920 3600.069 11021.768 
0.027 0.039 3600.069 4999.909 15713.043 
0.039 0.054 1.489 12.526 30.695 
0.039 0.054 12.526 20.626 54.549 
0.039 0.054 20.626 31.085 86.707 
0.039 0.054 31.085 42.956 115.145 
0.039 0.054 42.956 57.957 162.965 
0.039 0.054 57.957 77.483 224.181 
0.039 0.054 77.483 103.894 284.322 
0.039 0.054 103.894 137.296 383.437 
0.039 0.054 137.296 180.234 508.749 
0.039 0.054 180.234 255.972 718.559 
0.039 0.054 255.972 357.424 1042.203 
0.039 0.054 357.424 469.417 1389.154 
0.039 0.054 469.417 611.167 1799.088 
0.039 0.054 611.167 796.302 2368.962 
0.039 0.054 796.302 1063.984 3149.612 
0.039 0.054 1063.984 1409.674 4139.366 
0.039 0.054 1409.674 1866.532 5389.054 
0.039 0.054 1866.532 2696.877 7531.914 
0.039 0.054 2696.877 3763.447 10747.322 
0.039 0.054 3763.447 4999.798 14725.467 
0.054 0.072 1.573 12.201 26.502 
0.054 0.072 12.201 20.317 48.537 
0.054 0.072 20.317 30.146 75.856 
0.054 0.072 30.146 40.459 99.475 
0.054 0.072 40.459 52.951 140.211 
0.054 0.072 52.951 67.866 170.985 
