Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.009 0.272 2.333 23.399 17.372 
0.007 0.272 23.559 46.033 37.092 
0.007 0.273 46.073 85.412 54.651 
0.010 0.272 85.556 160.232 89.878 
0.012 0.273 160.867 283.176 101.135 
0.009 0.272 283.284 484.930 144.874 
0.010 0.273 487.058 873.922 228.388 
0.009 0.272 874.560 1630.375 288.611 
0.007 0.272 1636.360 2914.483 413.908 
0.008 0.273 2917.154 4995.599 533.663 
0.273 0.327 2.639 28.003 464.911 
0.273 0.327 28.027 55.804 935.782 
0.273 0.327 55.875 101.046 1111.870 
0.273 0.327 101.061 183.769 1690.438 
0.273 0.327 184.327 318.782 1478.123 
0.273 0.327 319.430 529.560 2911.576 
0.273 0.327 530.485 908.188 4435.887 
0.273 0.327 913.341 1670.921 3709.251 
0.273 0.327 1674.713 2929.630 7127.287 
0.273 0.327 2942.724 4978.138 8581.525 
0.327 0.359 2.486 28.082 20.710 
0.327 0.359 28.363 54.676 39.542 
0.327 0.359 54.687 96.168 63.292 
0.327 0.359 96.564 178.309 93.007 
0.327 0.359 178.665 318.380 122.745 
0.327 0.359 318.579 528.704 157.926 
0.327 0.359 529.471 890.138 223.375 
0.327 0.359 895.911 1613.923 318.050 
0.327 0.359 1615.097 2929.908 411.771 
0.327 0.359 2938.362 4990.987 519.024 
0.359 0.384 2.164 27.635 695.477 
0.359 0.384 27.756 54.225 874.087 
0.359 0.384 54.342 94.916 1102.201 
0.359 0.384 94.995 173.972 1514.800 
0.359 0.384 174.852 314.223 2073.020 
0.359 0.384 314.651 528.285 2735.955 
0.359 0.384 528.944 894.212 3438.168 
0.359 0.384 895.477 1623.026 4777.698 
0.359 0.384 1623.693 2955.453 6412.571 
0.359 0.384 2958.258 4993.195 8050.778 
0.384 0.405 2.315 27.088 20.092 
0.384 0.405 27.189 53.238 43.754 
0.384 0.405 53.369 93.352 65.579 
0.384 0.405 93.438 171.292 86.344 
0.384 0.405 171.748 310.383 114.889 
0.384 0.405 312.151 528.154 157.362 
0.384 0.405 528.382 884.856 203.704 
0.384 0.405 885.420 1602.118 283.405 
0.384 0.405 1605.507 2924.603 361.198 
0.384 0.405 2929.265 4998.777 535.876 
0.405 0.423 2.437 27.024 642.292 
0.405 0.424 27.056 53.147 803.851 
0.405 0.423 53.244 91.832 1103.174 
0.405 0.424 91.875 170.347 1422.320 
0.405 0.423 170.861 312.728 1932.327 
0.405 0.424 313.379 530.954 2634.051 
0.405 0.424 533.676 876.649 3427.905 
0.405 0.423 876.985 1567.657 4945.870 
0.405 0.424 1570.981 2862.406 5998.997 
0.405 0.424 2877.522 4993.635 8499.315 
0.424 0.441 2.614 26.682 19.064 
0.424 0.441 26.777 52.349 43.434 
0.424 0.441 52.398 89.338 63.992 
0.424 0.441 89.641 164.055 86.891 
0.424 0.441 164.539 303.103 117.367 
0.424 0.441 303.578 520.270 151.147 
