Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.273 2.032 13.848 17.372 
0.005 0.273 13.848 23.547 37.092 
0.005 0.273 23.547 33.680 54.651 
0.005 0.273 33.680 46.037 89.878 
0.005 0.273 46.037 62.917 101.135 
0.005 0.273 62.917 85.527 144.874 
0.005 0.273 85.527 117.637 228.388 
0.005 0.273 117.637 160.303 288.611 
0.005 0.273 160.303 215.184 413.908 
0.005 0.273 215.184 283.210 533.663 
0.005 0.273 283.210 370.632 464.911 
0.005 0.273 370.632 485.754 935.782 
0.005 0.273 485.754 647.997 1111.870 
0.005 0.273 647.997 874.237 1690.438 
0.005 0.273 874.237 1192.512 1478.123 
0.005 0.273 1192.512 1635.899 2911.576 
0.005 0.273 1635.899 2209.750 4435.887 
0.005 0.273 2209.750 2914.894 3709.251 
0.005 0.273 2914.894 3819.789 7127.287 
0.005 0.273 3819.789 4999.616 8581.525 
0.273 0.327 2.317 16.449 20.710 
0.273 0.327 16.449 28.014 39.542 
0.273 0.327 28.014 40.364 63.292 
0.273 0.327 40.364 55.830 93.007 
0.273 0.327 55.830 75.513 122.745 
0.273 0.327 75.513 101.046 157.926 
0.273 0.327 101.046 136.422 223.375 
0.273 0.327 136.422 184.228 318.050 
0.273 0.327 184.228 243.514 411.771 
0.273 0.327 243.514 318.852 519.024 
0.273 0.327 318.852 411.029 695.477 
0.273 0.327 411.029 529.999 874.087 
0.273 0.327 529.999 690.419 1102.201 
0.273 0.327 690.419 912.722 1514.800 
0.273 0.327 912.722 1234.540 2073.020 
0.273 0.327 1234.540 1672.826 2735.955 
0.273 0.327 1672.826 2234.324 3438.168 
0.273 0.327 2234.324 2940.909 4777.698 
0.273 0.327 2940.909 3866.037 6412.571 
0.273 0.327 3866.037 4999.992 8050.778 
0.327 0.359 2.245 16.439 20.092 
0.327 0.359 16.439 28.135 43.754 
0.327 0.359 28.135 40.455 65.579 
0.327 0.359 40.455 54.683 86.344 
0.327 0.359 54.683 72.535 114.889 
0.327 0.359 72.535 96.311 157.362 
0.327 0.359 96.311 130.900 203.704 
0.327 0.359 130.900 178.517 283.405 
0.327 0.359 178.517 241.948 361.198 
0.327 0.359 241.948 318.552 535.876 
0.327 0.359 318.552 413.040 642.292 
0.327 0.359 413.040 529.438 803.851 
0.327 0.359 529.438 683.702 1103.174 
0.327 0.359 683.702 891.891 1422.320 
0.327 0.359 891.891 1192.181 1932.327 
0.327 0.359 1192.181 1614.767 2634.051 
0.327 0.359 1614.767 2190.391 3427.905 
0.327 0.359 2190.391 2931.292 4945.870 
0.327 0.359 2931.292 3853.969 5998.997 
0.327 0.359 3853.969 4999.905 8499.315 
0.359 0.384 2.107 16.131 19.064 
0.359 0.384 16.131 27.712 43.434 
0.359 0.384 27.712 39.985 63.992 
0.359 0.384 39.985 54.297 86.891 
0.359 0.384 54.297 71.610 117.367 
0.359 0.384 71.610 94.928 151.147 
