Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.027 1.731 27.067 1.089 
0.008 0.027 27.179 58.144 2.269 
0.007 0.027 58.262 95.608 3.380 
0.008 0.027 95.725 151.024 4.771 
0.007 0.027 151.055 286.450 6.773 
0.006 0.027 287.951 587.035 9.080 
0.006 0.027 588.269 917.171 10.241 
0.008 0.027 918.519 1392.265 14.056 
0.009 0.027 1394.724 2270.741 17.957 
0.006 0.027 2277.107 4995.074 23.198 
0.027 0.039 1.738 24.788 36.520 
0.027 0.039 24.843 54.272 47.287 
0.027 0.039 54.443 96.868 68.121 
0.027 0.039 97.074 149.845 83.181 
0.027 0.039 150.046 253.765 106.391 
0.027 0.039 254.863 515.868 112.169 
0.027 0.039 516.220 901.607 148.718 
0.027 0.039 904.080 1426.599 204.835 
0.027 0.039 1430.174 2393.990 283.858 
0.027 0.039 2405.931 4998.660 415.977 
0.039 0.054 1.647 20.625 1.267 
0.039 0.054 20.656 42.933 2.739 
0.039 0.054 42.980 77.473 4.092 
0.039 0.054 77.531 137.204 6.298 
0.039 0.054 137.402 255.822 8.309 
0.039 0.054 256.384 469.415 10.860 
0.039 0.054 470.087 795.474 14.949 
0.039 0.054 796.369 1406.752 17.825 
0.039 0.054 1409.853 2693.049 23.410 
0.039 0.054 2701.556 4993.730 30.916 
0.054 0.072 1.879 20.301 46.102 
0.054 0.072 20.382 40.449 58.950 
0.054 0.072 40.472 67.711 79.202 
0.054 0.072 67.897 122.092 101.754 
0.054 0.072 122.133 243.679 131.459 
0.054 0.072 244.371 442.753 180.008 
0.054 0.072 443.193 728.319 212.618 
0.054 0.072 730.395 1386.231 264.882 
0.054 0.072 1388.484 2844.086 421.845 
0.054 0.072 2849.291 4994.642 616.887 
0.072 0.095 1.802 21.397 1.403 
0.072 0.094 21.606 42.171 2.687 
0.072 0.095 42.295 68.911 4.600 
0.072 0.095 69.006 112.699 6.760 
0.072 0.095 113.330 206.207 8.013 
0.072 0.095 206.256 392.899 12.183 
0.072 0.095 393.904 655.076 15.982 
0.072 0.095 656.057 1250.289 19.836 
0.072 0.094 1254.021 2710.277 25.860 
0.072 0.095 2716.499 4999.394 34.611 
0.095 0.121 1.682 23.639 53.469 
0.095 0.121 23.715 47.684 68.234 
0.095 0.121 47.827 75.214 95.643 
0.095 0.121 75.421 108.605 122.698 
0.095 0.121 108.763 163.242 164.398 
0.095 0.121 163.664 323.661 199.593 
0.095 0.121 323.974 537.688 264.427 
0.095 0.121 538.210 1025.635 389.058 
0.095 0.121 1026.134 2501.863 580.853 
0.095 0.121 2502.584 4997.872 711.911 
0.121 0.151 1.957 24.832 1.660 
0.121 0.151 24.928 50.861 3.436 
0.121 0.151 51.031 74.031 5.446 
0.121 0.151 74.091 100.219 7.904 
0.121 0.151 100.408 146.223 10.047 
0.121 0.151 146.353 292.260 13.327 
0.121 0.151 292.504 479.159 17.098 
0.121 0.151 480.219 919.992 23.488 
0.121 0.151 928.081 2404.747 30.499 
0.121 0.151 2409.178 4996.335 43.642 
0.151 0.187 1.963 24.657 59.462 
0.151 0.187 24.738 48.545 84.488 
0.151 0.187 48.557 68.600 108.922 
0.151 0.187 68.696 91.653 129.260 
0.151 0.187 91.711 137.869 167.458 
0.151 0.187 138.256 275.030 235.102 
0.151 0.187 275.087 458.607 335.219 
0.151 0.187 460.225 886.628 495.007 
0.151 0.187 887.614 2398.585 739.029 
0.151 0.187 2413.246 4998.153 949.574 
0.187 0.229 1.920 24.886 2.204 
0.187 0.229 24.978 45.765 4.702 
0.187 0.229 45.842 63.472 6.739 
0.187 0.229 63.567 85.219 10.592 
0.187 0.229 85.294 128.822 12.829 
0.187 0.229 128.845 256.091 14.881 
0.187 0.229 256.178 443.066 20.719 
0.187 0.229 445.163 860.395 27.865 
0.187 0.229 863.210 2393.547 35.351 
0.187 0.229 2399.953 4988.829 45.734 
0.229 0.279 1.678 24.522 69.091 
0.229 0.279 24.593 42.234 96.900 
0.229 0.279 42.255 59.070 109.359 
0.229 0.279 59.096 79.817 157.113 
0.229 0.279 79.913 121.023 196.411 
0.229 0.279 121.074 241.800 266.813 
0.229 0.279 242.108 431.833 416.353 
