Agg-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.027 1.548 15.639 1.089 
0.005 0.027 15.639 27.159 2.269 
0.005 0.027 27.159 42.774 3.380 
0.005 0.027 42.774 58.245 4.771 
0.005 0.027 58.245 75.174 6.773 
0.005 0.027 75.174 95.608 9.080 
0.005 0.027 95.608 120.126 10.241 
0.005 0.027 120.126 151.036 14.056 
0.005 0.027 151.036 194.480 17.957 
0.005 0.027 194.480 286.541 23.198 
0.005 0.027 286.541 438.160 36.520 
0.005 0.027 438.160 588.223 47.287 
0.005 0.027 588.223 738.728 68.121 
0.005 0.027 738.728 917.815 83.181 
0.005 0.027 917.815 1131.164 106.391 
0.005 0.027 1131.164 1393.471 112.169 
0.005 0.027 1393.471 1731.484 148.718 
0.005 0.027 1731.484 2271.273 204.835 
0.005 0.027 2271.273 3528.802 283.858 
0.005 0.027 3528.802 4999.259 415.977 
0.027 0.039 1.532 14.729 1.267 
0.027 0.039 14.729 24.818 2.739 
0.027 0.039 24.818 38.774 4.092 
0.027 0.039 38.774 54.403 6.298 
0.027 0.039 54.403 73.965 8.309 
0.027 0.039 73.965 97.049 10.860 
0.027 0.039 97.049 121.552 14.949 
0.027 0.039 121.552 149.889 17.825 
0.027 0.039 149.889 186.975 23.410 
0.027 0.039 186.975 253.957 30.916 
0.027 0.039 253.957 379.181 46.102 
0.027 0.039 379.181 516.174 58.950 
0.027 0.039 516.174 690.396 79.202 
0.027 0.039 690.396 901.650 101.754 
0.027 0.039 901.650 1149.578 131.459 
0.027 0.039 1149.578 1429.994 180.008 
0.027 0.039 1429.994 1786.316 212.618 
0.027 0.039 1786.316 2401.920 264.882 
0.027 0.039 2401.920 3600.069 421.845 
0.027 0.039 3600.069 4999.909 616.887 
0.039 0.054 1.489 12.526 1.403 
0.039 0.054 12.526 20.626 2.687 
0.039 0.054 20.626 31.085 4.600 
0.039 0.054 31.085 42.956 6.760 
0.039 0.054 42.956 57.957 8.013 
0.039 0.054 57.957 77.483 12.183 
0.039 0.054 77.483 103.894 15.982 
0.039 0.054 103.894 137.296 19.836 
0.039 0.054 137.296 180.234 25.860 
0.039 0.054 180.234 255.972 34.611 
0.039 0.054 255.972 357.424 53.469 
0.039 0.054 357.424 469.417 68.234 
0.039 0.054 469.417 611.167 95.643 
0.039 0.054 611.167 796.302 122.698 
0.039 0.054 796.302 1063.984 164.398 
0.039 0.054 1063.984 1409.674 199.593 
0.039 0.054 1409.674 1866.532 264.427 
0.039 0.054 1866.532 2696.877 389.058 
0.039 0.054 2696.877 3763.447 580.853 
0.039 0.054 3763.447 4999.798 711.911 
0.054 0.072 1.573 12.201 1.660 
0.054 0.072 12.201 20.317 3.436 
0.054 0.072 20.317 30.146 5.446 
0.054 0.072 30.146 40.459 7.904 
0.054 0.072 40.459 52.951 10.047 
0.054 0.072 52.951 67.866 13.327 
0.054 0.072 67.866 88.194 17.098 
0.054 0.072 88.194 122.097 23.488 
0.054 0.072 122.097 166.252 30.499 
0.054 0.072 166.252 243.906 43.642 
0.054 0.072 243.906 341.276 59.462 
0.054 0.072 341.276 442.882 84.488 
0.054 0.072 442.882 567.591 108.922 
0.054 0.072 567.591 729.693 129.260 
0.054 0.072 729.693 993.199 167.458 
0.054 0.072 993.199 1386.779 235.102 
0.054 0.072 1386.779 1940.721 335.219 
0.054 0.072 1940.721 2848.756 495.007 
0.054 0.072 2848.756 3834.792 739.029 
0.054 0.072 3834.792 4999.985 949.574 
0.072 0.095 1.546 12.784 2.204 
0.072 0.095 12.784 21.444 4.702 
0.072 0.095 21.444 31.694 6.739 
0.072 0.095 31.694 42.211 10.592 
0.072 0.095 42.211 54.481 12.829 
0.072 0.095 54.481 68.957 14.881 
0.072 0.095 68.957 86.581 20.719 
0.072 0.095 86.581 113.184 27.865 
0.072 0.095 113.184 147.347 35.351 
0.072 0.095 147.347 206.239 45.734 
0.072 0.095 206.239 297.459 69.091 
0.072 0.095 297.459 393.477 96.900 
0.072 0.095 393.477 507.126 109.359 
0.072 0.095 507.126 655.543 157.113 
0.072 0.095 655.543 868.535 196.411 
0.072 0.095 868.535 1250.339 266.813 
0.072 0.095 1250.339 1779.336 416.353 
