Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.009 0.272 2.333 23.399 5.660 
0.007 0.272 23.559 46.033 11.263 
0.007 0.273 46.073 85.412 18.653 
0.010 0.272 85.556 160.232 27.583 
0.012 0.273 160.867 283.176 33.634 
0.009 0.272 283.284 484.930 46.170 
0.010 0.273 487.058 873.922 65.266 
0.009 0.272 874.560 1630.375 99.830 
0.007 0.272 1636.360 2914.483 136.132 
0.008 0.273 2917.154 4995.599 193.346 
0.273 0.327 2.639 28.003 198.877 
0.273 0.327 28.027 55.804 279.177 
0.273 0.327 55.875 101.046 400.935 
0.273 0.327 101.061 183.769 519.198 
0.273 0.327 184.327 318.782 589.869 
0.273 0.327 319.430 529.560 939.854 
0.273 0.327 530.485 908.188 1391.554 
0.273 0.327 913.341 1670.921 1578.620 
0.273 0.327 1674.713 2929.630 2504.367 
0.273 0.327 2942.724 4978.138 2916.093 
0.327 0.359 2.486 28.082 6.655 
0.327 0.359 28.363 54.676 17.095 
0.327 0.359 54.687 96.168 23.109 
0.327 0.359 96.564 178.309 33.174 
0.327 0.359 178.665 318.380 46.518 
0.327 0.359 318.579 528.704 65.159 
0.327 0.359 529.471 890.138 91.281 
0.327 0.359 895.911 1613.923 117.416 
0.327 0.359 1615.097 2929.908 153.593 
0.327 0.359 2938.362 4990.987 198.421 
0.359 0.384 2.164 27.635 242.682 
0.359 0.384 27.756 54.225 320.282 
0.359 0.384 54.342 94.916 409.891 
0.359 0.384 94.995 173.972 551.388 
0.359 0.384 174.852 314.223 803.993 
0.359 0.384 314.651 528.285 1003.863 
0.359 0.384 528.944 894.212 1407.128 
0.359 0.384 895.477 1623.026 1849.386 
0.359 0.384 1623.693 2955.453 2626.236 
0.359 0.384 2958.258 4993.195 3218.509 
0.384 0.405 2.315 27.088 7.717 
0.384 0.405 27.189 53.238 16.264 
0.384 0.405 53.369 93.352 27.205 
0.384 0.405 93.438 171.292 32.788 
0.384 0.405 171.748 310.383 44.903 
0.384 0.405 312.151 528.154 60.006 
0.384 0.405 528.382 884.856 82.788 
0.384 0.405 885.420 1602.118 114.453 
0.384 0.405 1605.507 2924.603 151.274 
0.384 0.405 2929.265 4998.777 206.974 
0.405 0.423 2.437 27.024 267.832 
0.405 0.424 27.056 53.147 349.284 
0.405 0.423 53.244 91.832 450.656 
0.405 0.424 91.875 170.347 611.793 
0.405 0.423 170.861 312.728 774.956 
0.405 0.424 313.379 530.954 1055.608 
0.405 0.424 533.676 876.649 1396.486 
0.405 0.423 876.985 1567.657 1870.408 
0.405 0.424 1570.981 2862.406 2510.398 
0.405 0.424 2877.522 4993.635 3358.544 
0.424 0.441 2.614 26.682 7.391 
0.424 0.441 26.777 52.349 16.948 
0.424 0.441 52.398 89.338 25.032 
0.424 0.441 89.641 164.055 35.859 
0.424 0.441 164.539 303.103 47.886 
0.424 0.441 303.578 520.270 62.934 
0.424 0.441 520.415 857.311 82.577 
0.424 0.441 858.444 1537.795 106.708 
0.424 0.441 1538.725 2875.325 157.071 
0.424 0.441 2881.388 4995.322 211.564 
0.441 0.458 2.541 26.504 267.292 
0.441 0.458 26.600 52.394 362.052 
0.441 0.458 52.442 88.991 427.237 
0.441 0.458 89.100 161.902 604.022 
0.441 0.458 162.311 304.190 774.276 
0.441 0.458 304.420 523.608 1045.778 
0.441 0.458 524.245 857.368 1294.423 
0.441 0.458 857.693 1540.484 1968.415 
0.441 0.458 1547.664 2870.045 2611.293 
0.441 0.458 2871.724 4995.884 3213.628 
0.458 0.474 2.159 26.644 7.978 
0.458 0.474 26.731 52.493 16.176 
0.458 0.474 52.553 88.569 24.639 
0.458 0.474 88.697 159.969 35.592 
0.458 0.474 160.120 299.123 46.294 
0.458 0.474 299.464 520.716 66.678 
0.458 0.474 521.188 849.561 84.681 
0.458 0.474 851.042 1518.265 110.466 
0.458 0.474 1524.837 2857.217 154.262 
0.458 0.474 2863.321 4999.485 213.693 
0.474 0.490 2.281 26.454 271.565 
0.474 0.490 26.523 52.704 354.720 
0.474 0.490 52.794 88.270 473.545 
0.474 0.490 88.434 158.737 615.806 
0.474 0.490 158.902 298.121 790.545 
0.474 0.490 298.132 517.077 1070.983 
