Agg-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, value 
0.005 0.273 2.032 13.848 5.660 
0.005 0.273 13.848 23.547 11.263 
0.005 0.273 23.547 33.680 18.653 
0.005 0.273 33.680 46.037 27.583 
0.005 0.273 46.037 62.917 33.634 
0.005 0.273 62.917 85.527 46.170 
0.005 0.273 85.527 117.637 65.266 
0.005 0.273 117.637 160.303 99.830 
0.005 0.273 160.303 215.184 136.132 
0.005 0.273 215.184 283.210 193.346 
0.005 0.273 283.210 370.632 198.877 
0.005 0.273 370.632 485.754 279.177 
0.005 0.273 485.754 647.997 400.935 
0.005 0.273 647.997 874.237 519.198 
0.005 0.273 874.237 1192.512 589.869 
0.005 0.273 1192.512 1635.899 939.854 
0.005 0.273 1635.899 2209.750 1391.554 
0.005 0.273 2209.750 2914.894 1578.620 
0.005 0.273 2914.894 3819.789 2504.367 
0.005 0.273 3819.789 4999.616 2916.093 
0.273 0.327 2.317 16.449 6.655 
0.273 0.327 16.449 28.014 17.095 
0.273 0.327 28.014 40.364 23.109 
0.273 0.327 40.364 55.830 33.174 
0.273 0.327 55.830 75.513 46.518 
0.273 0.327 75.513 101.046 65.159 
0.273 0.327 101.046 136.422 91.281 
0.273 0.327 136.422 184.228 117.416 
0.273 0.327 184.228 243.514 153.593 
0.273 0.327 243.514 318.852 198.421 
0.273 0.327 318.852 411.029 242.682 
0.273 0.327 411.029 529.999 320.282 
0.273 0.327 529.999 690.419 409.891 
0.273 0.327 690.419 912.722 551.388 
0.273 0.327 912.722 1234.540 803.993 
0.273 0.327 1234.540 1672.826 1003.863 
0.273 0.327 1672.826 2234.324 1407.128 
0.273 0.327 2234.324 2940.909 1849.386 
0.273 0.327 2940.909 3866.037 2626.236 
0.273 0.327 3866.037 4999.992 3218.509 
0.327 0.359 2.245 16.439 7.717 
0.327 0.359 16.439 28.135 16.264 
0.327 0.359 28.135 40.455 27.205 
0.327 0.359 40.455 54.683 32.788 
0.327 0.359 54.683 72.535 44.903 
0.327 0.359 72.535 96.311 60.006 
0.327 0.359 96.311 130.900 82.788 
0.327 0.359 130.900 178.517 114.453 
0.327 0.359 178.517 241.948 151.274 
0.327 0.359 241.948 318.552 206.974 
0.327 0.359 318.552 413.040 267.832 
0.327 0.359 413.040 529.438 349.284 
0.327 0.359 529.438 683.702 450.656 
0.327 0.359 683.702 891.891 611.793 
0.327 0.359 891.891 1192.181 774.956 
0.327 0.359 1192.181 1614.767 1055.608 
0.327 0.359 1614.767 2190.391 1396.486 
0.327 0.359 2190.391 2931.292 1870.408 
0.327 0.359 2931.292 3853.969 2510.398 
0.327 0.359 3853.969 4999.905 3358.544 
0.359 0.384 2.107 16.131 7.391 
0.359 0.384 16.131 27.712 16.948 
0.359 0.384 27.712 39.985 25.032 
0.359 0.384 39.985 54.297 35.859 
0.359 0.384 54.297 71.610 47.886 
0.359 0.384 71.610 94.928 62.934 
0.359 0.384 94.928 128.038 82.577 
0.359 0.384 128.038 174.169 106.708 
0.359 0.384 174.169 235.493 157.071 
0.359 0.384 235.493 314.256 211.564 
0.359 0.384 314.256 410.336 267.292 
0.359 0.384 410.336 528.783 362.052 
0.359 0.384 528.783 683.371 427.237 
0.359 0.384 683.371 894.571 604.022 
0.359 0.384 894.571 1192.865 774.276 
0.359 0.384 1192.865 1623.361 1045.778 
0.359 0.384 1623.361 2208.123 1294.423 
0.359 0.384 2208.123 2957.549 1968.415 
0.359 0.384 2957.549 3871.942 2611.293 
0.359 0.384 3871.942 4999.849 3213.628 
0.384 0.405 2.095 15.942 7.978 
0.384 0.405 15.942 27.139 16.176 
0.384 0.405 27.139 39.331 24.639 
0.384 0.405 39.331 53.263 35.592 
0.384 0.405 53.263 70.509 46.294 
0.384 0.405 70.509 93.368 66.678 
0.384 0.405 93.368 125.305 84.681 
0.384 0.405 125.305 171.622 110.466 
0.384 0.405 171.622 232.549 154.262 
0.384 0.405 232.549 310.746 213.693 
0.384 0.405 310.746 408.494 271.565 
0.384 0.405 408.494 528.297 354.720 
0.384 0.405 528.297 682.485 473.545 
0.384 0.405 682.485 885.199 615.806 
0.384 0.405 885.199 1173.790 790.545 
0.384 0.405 1173.790 1602.361 1070.983 
