Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.010 0.273 2.286 13.842 0.010 100.000 1.000 5.000 17.033 
0.010 0.273 13.855 23.535 0.010 100.000 1.000 10.000 32.215 
0.014 0.273 23.551 33.676 0.010 100.000 1.000 10.000 54.307 
0.010 0.273 33.685 45.986 0.010 100.000 1.000 10.000 72.969 
0.009 0.271 46.055 62.900 0.010 100.000 1.000 20.000 98.547 
0.010 0.272 63.100 85.171 0.010 100.000 1.000 30.000 127.612 
0.010 0.272 85.727 117.455 0.010 100.000 1.000 50.000 173.477 
0.020 0.273 117.640 160.107 0.010 100.000 2.000 60.000 232.799 
0.012 0.272 160.357 215.123 0.010 100.000 2.000 90.000 319.336 
0.009 0.272 216.129 283.186 0.010 100.000 3.000 100.000 434.421 
0.008 0.272 283.546 370.316 0.010 100.000 3.000 100.000 632.439 
0.009 0.272 372.116 485.648 0.010 100.000 4.000 200.000 570.070 
0.007 0.272 486.598 647.896 0.010 100.000 6.000 200.000 787.517 
0.008 0.272 650.418 873.957 0.010 100.000 5.000 300.000 1237.498 
0.012 0.273 874.889 1190.885 0.010 100.000 8.000 500.000 1690.459 
0.018 0.273 1192.840 1635.059 0.010 100.000 20.000 600.000 2194.121 
0.008 0.272 1636.658 2207.022 0.010 100.000 30.000 900.000 3524.654 
0.011 0.272 2210.067 2914.791 0.010 100.000 30.000 1000.000 4439.650 
0.008 0.272 2916.032 3817.855 0.010 100.000 40.000 1000.000 5979.931 
0.006 0.273 3820.098 4995.932 0.010 100.000 40.000 1000.000 7377.850 
0.273 0.326 2.470 16.357 0.010 37.927 1.000 5.000 14.374 
0.273 0.327 16.469 28.001 0.010 61.585 1.000 10.000 33.603 
0.273 0.326 28.095 40.309 0.010 100.000 1.000 10.000 50.232 
0.273 0.327 40.367 55.813 0.010 100.000 1.000 20.000 69.230 
0.273 0.327 55.869 75.510 0.010 100.000 1.000 30.000 95.450 
0.273 0.327 75.520 100.729 0.010 100.000 1.000 40.000 122.751 
0.273 0.327 101.051 136.364 0.010 100.000 2.000 50.000 142.397 
0.273 0.327 136.450 184.198 0.010 100.000 2.000 60.000 219.440 
0.273 0.327 184.267 243.441 0.010 100.000 2.000 90.000 321.594 
0.273 0.327 243.559 318.564 0.010 100.000 3.000 100.000 393.656 
0.273 0.327 318.874 410.816 0.010 100.000 4.000 100.000 512.430 
0.273 0.327 411.070 529.988 0.010 100.000 4.000 200.000 585.443 
0.273 0.327 530.429 688.511 0.010 100.000 6.000 200.000 763.105 
0.273 0.327 690.773 911.450 0.010 100.000 8.000 300.000 1235.590 
0.273 0.327 913.118 1234.532 0.010 100.000 8.000 500.000 1479.633 
0.273 0.326 1234.598 1672.389 0.010 100.000 20.000 600.000 1999.204 
0.273 0.327 1673.572 2232.932 0.010 100.000 20.000 900.000 2904.864 
0.273 0.327 2239.380 2940.154 0.010 100.000 30.000 1000.000 3645.287 
0.273 0.326 2945.020 3864.178 0.010 100.000 30.000 1000.000 4767.519 
