Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.018 0.272 2.480 13.800 0.010 100.000 1.000 6.000 11.047 
0.008 0.273 13.871 23.532 0.010 100.000 1.000 10.000 33.959 
0.009 0.272 23.578 33.675 0.010 100.000 1.000 10.000 56.308 
0.008 0.273 33.723 46.036 0.010 100.000 1.000 10.000 73.215 
0.008 0.271 46.066 62.798 0.010 100.000 1.000 20.000 99.962 
0.007 0.272 62.929 85.507 0.010 100.000 1.000 40.000 136.733 
0.007 0.272 85.603 117.534 0.010 100.000 2.000 40.000 129.568 
0.012 0.272 117.962 160.208 0.010 100.000 2.000 70.000 254.900 
0.009 0.272 160.324 215.017 0.010 100.000 2.000 80.000 335.699 
0.011 0.272 215.488 282.897 0.010 100.000 2.000 100.000 459.028 
0.013 0.273 283.563 370.071 0.010 100.000 3.000 100.000 603.580 
0.011 0.273 371.235 485.673 0.010 100.000 4.000 100.000 562.300 
0.009 0.273 486.152 647.727 0.010 100.000 6.000 200.000 779.050 
0.010 0.272 648.444 872.702 0.010 100.000 7.000 300.000 1288.600 
0.016 0.272 875.658 1191.246 0.010 100.000 10.000 400.000 1752.517 
0.012 0.272 1194.137 1634.643 0.010 100.000 20.000 700.000 1812.802 
0.011 0.273 1636.355 2208.852 0.010 100.000 20.000 900.000 3361.241 
0.015 0.273 2212.059 2912.631 0.010 100.000 30.000 1000.000 3461.730 
0.010 0.272 2918.520 3818.367 0.010 100.000 30.000 1000.000 4639.846 
0.007 0.272 3821.740 4998.927 0.010 100.000 40.000 1000.000 5984.228 
0.273 0.326 3.033 16.371 0.010 37.927 1.000 6.000 15.190 
0.273 0.327 16.464 27.992 0.010 100.000 1.000 10.000 32.512 
0.273 0.327 28.023 40.364 0.010 100.000 1.000 10.000 50.942 
0.273 0.326 40.413 55.718 0.010 100.000 1.000 20.000 71.985 
0.273 0.327 55.854 75.439 0.010 100.000 1.000 30.000 100.975 
0.273 0.327 75.699 100.774 0.010 100.000 1.000 40.000 124.980 
0.273 0.327 101.160 136.283 0.010 100.000 2.000 50.000 143.786 
0.273 0.327 136.467 183.513 0.010 100.000 2.000 70.000 198.563 
0.273 0.326 184.248 243.276 0.010 100.000 2.000 90.000 317.983 
0.273 0.326 243.868 318.830 0.010 100.000 2.000 100.000 401.006 
0.273 0.327 319.033 410.748 0.010 100.000 3.000 100.000 540.542 
0.273 0.327 411.432 528.892 0.010 100.000 4.000 200.000 692.064 
0.273 0.327 530.185 689.248 0.010 100.000 5.000 200.000 929.577 
0.273 0.327 690.624 912.032 0.010 100.000 8.000 300.000 1171.005 
0.273 0.327 915.944 1234.196 0.010 100.000 10.000 400.000 1554.951 
0.273 0.327 1241.026 1670.354 0.010 100.000 20.000 600.000 1815.296 
0.273 0.327 1673.687 2233.429 0.010 100.000 20.000 800.000 2963.342 
0.273 0.327 2236.383 2937.070 0.010 100.000 30.000 1000.000 3240.850 
0.273 0.327 2941.365 3861.245 0.010 100.000 30.000 1000.000 4268.310 
