Ice-Agg collection for the random orientation. 
Mean value taken from the average across 300 aggregates. 
Major axis taken as the largest axis from the fit-ellipsoid 
Ranges are taken from the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.005 0.269 2.032 13.744 0.010 100.000 1.000 6.000 20.289 
0.005 0.269 13.744 23.402 0.010 100.000 1.000 10.000 45.122 
0.005 0.269 23.402 33.433 0.010 100.000 1.000 10.000 73.677 
0.005 0.269 33.433 45.658 0.010 100.000 1.000 10.000 96.227 
0.005 0.269 45.658 62.414 0.010 100.000 1.000 20.000 130.663 
0.005 0.269 62.414 84.706 0.010 100.000 1.000 40.000 161.577 
0.005 0.269 84.706 116.526 0.010 100.000 2.000 40.000 214.499 
0.005 0.269 116.526 158.997 0.010 100.000 2.000 70.000 300.175 
0.005 0.269 158.997 213.585 0.010 100.000 2.000 80.000 408.238 
0.005 0.269 213.585 281.543 0.010 100.000 2.000 100.000 540.252 
0.005 0.269 281.543 368.432 0.010 100.000 3.000 100.000 767.545 
0.005 0.269 368.432 483.570 0.010 100.000 4.000 100.000 925.991 
0.005 0.269 483.570 645.412 0.010 100.000 6.000 200.000 1353.770 
0.005 0.269 645.412 870.675 0.010 100.000 7.000 300.000 1646.712 
0.005 0.269 870.675 1187.765 0.010 100.000 10.000 400.000 2213.853 
0.005 0.269 1187.765 1630.783 0.010 100.000 20.000 700.000 2978.411 
0.005 0.269 1630.783 2208.687 0.010 100.000 20.000 900.000 4020.824 
0.005 0.269 2208.687 2914.323 0.010 100.000 30.000 1000.000 5765.067 
0.005 0.269 2914.323 3818.244 0.010 100.000 30.000 1000.000 7607.703 
0.005 0.269 3818.244 4999.616 0.010 100.000 40.000 1000.000 9825.633 
0.269 0.325 2.317 16.459 0.010 37.927 1.000 6.000 18.717 
0.269 0.325 16.459 28.049 0.010 100.000 1.000 10.000 37.358 
0.269 0.325 28.049 40.398 0.010 100.000 1.000 10.000 58.501 
0.269 0.325 40.398 55.953 0.010 100.000 1.000 20.000 80.200 
0.269 0.325 55.953 75.788 0.010 100.000 1.000 30.000 107.214 
0.269 0.325 75.788 101.372 0.010 100.000 1.000 40.000 140.097 
0.269 0.325 101.372 136.840 0.010 100.000 2.000 50.000 191.060 
0.269 0.325 136.840 184.466 0.010 100.000 2.000 70.000 258.660 
0.269 0.325 184.466 244.069 0.010 100.000 2.000 90.000 348.898 
