Ice-Agg collection for the flat orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.007 0.027 1.758 15.609 0.010 100.000 1.000 8.000 0.793 
0.005 0.027 15.640 27.140 0.010 100.000 1.000 10.000 1.624 
0.006 0.027 27.193 42.702 0.010 100.000 1.000 20.000 1.681 
0.007 0.027 42.871 58.220 0.010 100.000 2.000 30.000 3.395 
0.008 0.027 58.255 75.002 0.010 100.000 3.000 40.000 4.657 
0.007 0.027 75.213 95.593 0.010 100.000 3.000 50.000 5.602 
0.009 0.027 95.611 120.124 0.010 100.000 4.000 60.000 9.016 
0.009 0.027 120.166 150.991 0.010 100.000 4.000 80.000 9.562 
0.008 0.027 151.106 194.147 0.010 100.000 6.000 100.000 8.845 
0.009 0.027 195.378 285.792 0.010 100.000 7.000 100.000 16.346 
0.007 0.027 288.472 437.965 0.010 100.000 9.000 200.000 29.736 
0.006 0.027 438.685 587.200 0.010 100.000 20.000 300.000 35.384 
0.008 0.027 588.483 738.644 0.010 100.000 20.000 400.000 55.630 
0.007 0.027 739.222 917.798 0.010 100.000 30.000 500.000 53.937 
0.007 0.027 917.844 1130.156 0.010 100.000 40.000 600.000 69.509 
0.009 0.027 1131.763 1393.101 0.010 100.000 40.000 800.000 65.546 
0.008 0.027 1394.381 1730.706 0.010 100.000 50.000 1000.000 77.934 
0.009 0.027 1732.977 2267.791 0.010 100.000 60.000 1000.000 138.707 
0.007 0.027 2272.153 3526.106 0.010 100.000 80.000 1000.000 130.200 
0.007 0.027 3532.973 4994.466 0.010 100.000 200.000 1000.000 340.904 
0.027 0.039 1.689 14.722 0.010 100.000 1.000 8.000 1.012 
0.027 0.039 14.736 24.803 0.010 100.000 1.000 10.000 1.522 
0.027 0.039 24.826 38.721 0.010 100.000 1.000 20.000 3.489 
0.027 0.039 38.831 54.390 0.010 100.000 2.000 30.000 4.621 
0.027 0.039 54.443 73.946 0.010 100.000 2.000 40.000 6.607 
0.027 0.039 74.024 97.049 0.010 100.000 3.000 60.000 6.896 
