Ice-Agg collection for the random orientation. 
Characteristic values taken from the peak of a fit 
gamma distribution from 300 aggregates. 
Minor axis taken as the smallest axis from the fit-ellipsoid 
Ranges are taken from the aggregates being pulled from the db, 
not the bin edges (maximum range) 
Order: agg phi min, agg phi max, agg r min, agg r max, 
 monomer phi min, monomer phi max, monomer r min, monomer r max, value 
0.010 0.273 2.286 13.842 0.010 100.000 1.000 5.000 3.610 
0.010 0.273 13.855 23.535 0.010 100.000 1.000 10.000 8.649 
0.014 0.273 23.551 33.676 0.010 100.000 1.000 10.000 11.214 
0.010 0.273 33.685 45.986 0.010 100.000 1.000 10.000 16.211 
0.009 0.271 46.055 62.900 0.010 100.000 1.000 20.000 20.814 
0.010 0.272 63.100 85.171 0.010 100.000 1.000 30.000 29.147 
0.010 0.272 85.727 117.455 0.010 100.000 1.000 50.000 41.107 
0.020 0.273 117.640 160.107 0.010 100.000 2.000 60.000 55.826 
0.012 0.272 160.357 215.123 0.010 100.000 2.000 90.000 80.442 
0.009 0.272 216.129 283.186 0.010 100.000 3.000 100.000 101.157 
0.008 0.272 283.546 370.316 0.010 100.000 3.000 100.000 128.649 
0.009 0.272 372.116 485.648 0.010 100.000 4.000 200.000 91.406 
0.007 0.272 486.598 647.896 0.010 100.000 6.000 200.000 267.862 
0.008 0.272 650.418 873.957 0.010 100.000 5.000 300.000 294.262 
0.012 0.273 874.889 1190.885 0.010 100.000 8.000 500.000 188.716 
0.018 0.273 1192.840 1635.059 0.010 100.000 20.000 600.000 557.633 
0.008 0.272 1636.658 2207.022 0.010 100.000 30.000 900.000 797.886 
0.011 0.272 2210.067 2914.791 0.010 100.000 30.000 1000.000 1056.237 
0.008 0.272 2916.032 3817.855 0.010 100.000 40.000 1000.000 1411.629 
0.006 0.273 3820.098 4995.932 0.010 100.000 40.000 1000.000 1699.749 
0.273 0.326 2.470 16.357 0.010 37.927 1.000 5.000 5.189 
0.273 0.327 16.469 28.001 0.010 61.585 1.000 10.000 10.706 
0.273 0.326 28.095 40.309 0.010 100.000 1.000 10.000 16.972 
0.273 0.327 40.367 55.813 0.010 100.000 1.000 20.000 21.119 
0.273 0.327 55.869 75.510 0.010 100.000 1.000 30.000 30.751 
0.273 0.327 75.520 100.729 0.010 100.000 1.000 40.000 38.328 
